timestamp,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2
0.0000,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97
0.0040,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76
0.0080,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63
0.0120,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10
0.0160,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66
0.0200,8.70,8.70,8.70,8.70,8.70,8.70,8.70,8.70
0.0240,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44
0.0280,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21
0.0320,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33
0.0360,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65
0.0400,16.59,16.59,16.59,16.59,16.59,16.59,16.59,16.59
0.0440,17.33,17.33,17.33,17.33,17.33,17.33,17.33,17.33
0.0480,14.30,14.30,14.30,14.30,14.30,14.30,14.30,14.30
0.0520,17.70,17.70,17.70,17.70,17.70,17.70,17.70,17.70
0.0560,17.53,17.53,17.53,17.53,17.53,17.53,17.53,17.53
0.0600,17.34,17.34,17.34,17.34,17.34,17.34,17.34,17.34
0.0640,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26
0.0680,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88
0.0720,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28
0.0760,17.62,17.62,17.62,17.62,17.62,17.62,17.62,17.62
0.0800,17.41,17.41,17.41,17.41,17.41,17.41,17.41,17.41
0.0840,16.87,16.87,16.87,16.87,16.87,16.87,16.87,16.87
0.0880,14.06,14.06,14.06,14.06,14.06,14.06,14.06,14.06
0.0920,11.69,11.69,11.69,11.69,11.69,11.69,11.69,11.69
0.0960,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71
0.1000,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34
0.1040,9.91,9.91,9.91,9.91,9.91,9.91,9.91,9.91
0.1080,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90
0.1120,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78
0.1160,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22
0.1200,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34
0.1240,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
0.1280,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
0.1320,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
0.1360,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
0.1400,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72
0.1440,-3.46,-3.46,-3.46,-3.46,-3.46,-3.46,-3.46,-3.46
0.1480,-4.11,-4.11,-4.11,-4.11,-4.11,-4.11,-4.11,-4.11
0.1520,-6.07,-6.07,-6.07,-6.07,-6.07,-6.07,-6.07,-6.07
0.1560,-9.97,-9.97,-9.97,-9.97,-9.97,-9.97,-9.97,-9.97
0.1600,-8.84,-8.84,-8.84,-8.84,-8.84,-8.84,-8.84,-8.84
0.1640,-9.11,-9.11,-9.11,-9.11,-9.11,-9.11,-9.11,-9.11
0.1680,-12.63,-12.63,-12.63,-12.63,-12.63,-12.63,-12.63,-12.63
0.1720,-9.80,-9.80,-9.80,-9.80,-9.80,-9.80,-9.80,-9.80
0.1760,-14.14,-14.14,-14.14,-14.14,-14.14,-14.14,-14.14,-14.14
0.1800,-13.87,-13.87,-13.87,-13.87,-13.87,-13.87,-13.87,-13.87
0.1840,-12.10,-12.10,-12.10,-12.10,-12.10,-12.10,-12.10,-12.10
0.1880,-13.02,-13.02,-13.02,-13.02,-13.02,-13.02,-13.02,-13.02
0.1920,-12.57,-12.57,-12.57,-12.57,-12.57,-12.57,-12.57,-12.57
0.1960,-10.81,-10.81,-10.81,-10.81,-10.81,-10.81,-10.81,-10.81
0.2000,-13.47,-13.47,-13.47,-13.47,-13.47,-13.47,-13.47,-13.47
0.2040,-10.56,-10.56,-10.56,-10.56,-10.56,-10.56,-10.56,-10.56
0.2080,-11.72,-11.72,-11.72,-11.72,-11.72,-11.72,-11.72,-11.72
0.2120,-11.11,-11.11,-11.11,-11.11,-11.11,-11.11,-11.11,-11.11
0.2160,-9.82,-9.82,-9.82,-9.82,-9.82,-9.82,-9.82,-9.82
0.2200,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00
0.2240,-8.59,-8.59,-8.59,-8.59,-8.59,-8.59,-8.59,-8.59
0.2280,-7.60,-7.60,-7.60,-7.60,-7.60,-7.60,-7.60,-7.60
0.2320,-6.40,-6.40,-6.40,-6.40,-6.40,-6.40,-6.40,-6.40
0.2360,-2.76,-2.76,-2.76,-2.76,-2.76,-2.76,-2.76,-2.76
0.2400,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17
0.2440,-2.26,-2.26,-2.26,-2.26,-2.26,-2.26,-2.26,-2.26
0.2480,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27
0.2520,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
0.2560,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62
0.2600,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11
0.2640,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78
0.2680,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58
0.2720,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12
0.2760,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68
0.2800,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04
0.2840,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11
0.2880,11.98,11.98,11.98,11.98,11.98,11.98,11.98,11.98
0.2920,15.56,15.56,15.56,15.56,15.56,15.56,15.56,15.56
0.2960,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78
0.3000,15.46,15.46,15.46,15.46,15.46,15.46,15.46,15.46
0.3040,17.20,17.20,17.20,17.20,17.20,17.20,17.20,17.20
0.3080,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41
0.3120,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61
0.3160,15.91,15.91,15.91,15.91,15.91,15.91,15.91,15.91
0.3200,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92
0.3240,70.78,70.78,70.78,70.78,70.78,70.78,70.78,70.78
0.3280,83.52,83.52,83.52,83.52,83.52,83.52,83.52,83.52
0.3320,83.07,83.07,83.07,83.07,83.07,83.07,83.07,83.07
0.3360,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51
0.3400,44.97,44.97,44.97,44.97,44.97,44.97,44.97,44.97
0.3440,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33
0.3480,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41
0.3520,-50.93,-50.93,-50.93,-50.93,-50.93,-50.93,-50.93,-50.93
0.3560,-73.41,-73.41,-73.41,-73.41,-73.41,-73.41,-73.41,-73.41
0.3600,-84.30,-84.30,-84.30,-84.30,-84.30,-84.30,-84.30,-84.30
0.3640,-81.88,-81.88,-81.88,-81.88,-81.88,-81.88,-81.88,-81.88
0.3680,-66.54,-66.54,-66.54,-66.54,-66.54,-66.54,-66.54,-66.54
0.3720,-40.68,-40.68,-40.68,-40.68,-40.68,-40.68,-40.68,-40.68
0.3760,-8.41,-8.41,-8.41,-8.41,-8.41,-8.41,-8.41,-8.41
0.3800,25.19,25.19,25.19,25.19,25.19,25.19,25.19,25.19
0.3840,54.82,54.82,54.82,54.82,54.82,54.82,54.82,54.82
0.3880,75.79,75.79,75.79,75.79,75.79,75.79,75.79,75.79
0.3920,84.79,84.79,84.79,84.79,84.79,84.79,84.79,84.79
0.3960,80.41,80.41,80.41,80.41,80.41,80.41,80.41,80.41
0.4000,63.33,63.33,63.33,63.33,63.33,63.33,63.33,63.33
0.4040,36.26,36.26,36.26,36.26,36.26,36.26,36.26,36.26
0.4080,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46
0.4120,-29.89,-29.89,-29.89,-29.89,-29.89,-29.89,-29.89,-29.89
0.4160,-58.51,-58.51,-58.51,-58.51,-58.51,-58.51,-58.51,-58.51
0.4200,-77.90,-77.90,-77.90,-77.90,-77.90,-77.90,-77.90,-77.90
0.4240,-84.99,-84.99,-84.99,-84.99,-84.99,-84.99,-84.99,-84.99
0.4280,-78.67,-78.67,-78.67,-78.67,-78.67,-78.67,-78.67,-78.67
0.4320,-59.92,-59.92,-59.92,-59.92,-59.92,-59.92,-59.92,-59.92
0.4360,-31.71,-31.71,-31.71,-31.71,-31.71,-31.71,-31.71,-31.71
0.4400,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50
0.4440,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48
0.4480,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01
0.4520,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76
0.4560,84.91,84.91,84.91,84.91,84.91,84.91,84.91,84.91
0.4600,76.65,76.65,76.65,76.65,76.65,76.65,76.65,76.65
0.4640,56.30,56.30,56.30,56.30,56.30,56.30,56.30,56.30
0.4680,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.05
0.4720,-6.46,-6.46,-6.46,-6.46,-6.46,-6.46,-6.46,-6.46
0.4760,-38.96,-38.96,-38.96,-38.96,-38.96,-38.96,-38.96,-38.96
0.4800,-65.30,-65.30,-65.30,-65.30,-65.30,-65.30,-65.30,-65.30
0.4840,-81.34,-81.34,-81.34,-81.34,-81.34,-81.34,-81.34,-81.34
0.4880,-84.53,-84.53,-84.53,-84.53,-84.53,-84.53,-84.53,-84.53
0.4920,-74.38,-74.38,-74.38,-74.38,-74.38,-74.38,-74.38,-74.38
0.4960,-52.48,-52.48,-52.48,-52.48,-52.48,-52.48,-52.48,-52.48
0.5000,-22.30,-22.30,-22.30,-22.30,-22.30,-22.30,-22.30,-22.30
0.5040,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40
0.5080,43.30,43.30,43.30,43.30,43.30,43.30,43.30,43.30
0.5120,68.37,68.37,68.37,68.37,68.37,68.37,68.37,68.37
0.5160,82.64,82.64,82.64,82.64,82.64,82.64,82.64,82.64
0.5200,83.86,83.86,83.86,83.86,83.86,83.86,83.86,83.86
0.5240,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85
0.5280,48.49,48.49,48.49,48.49,48.49,48.49,48.49,48.49
0.5320,17.48,17.48,17.48,17.48,17.48,17.48,17.48,17.48
0.5360,-16.30,-16.30,-16.30,-16.30,-16.30,-16.30,-16.30,-16.30
0.5400,-47.50,-47.50,-47.50,-47.50,-47.50,-47.50,-47.50,-47.50
0.5440,-71.20,-71.20,-71.20,-71.20,-71.20,-71.20,-71.20,-71.20
0.5480,-83.66,-83.66,-83.66,-83.66,-83.66,-83.66,-83.66,-83.66
0.5520,-82.91,-82.91,-82.91,-82.91,-82.91,-82.91,-82.91,-82.91
0.5560,-69.07,-69.07,-69.07,-69.07,-69.07,-69.07,-69.07,-69.07
0.5600,-44.33,-44.33,-44.33,-44.33,-44.33,-44.33,-44.33,-44.33
0.5640,-12.59,-12.59,-12.59,-12.59,-12.59,-12.59,-12.59,-12.59
0.5680,21.14,21.14,21.14,21.14,21.14,21.14,21.14,21.14
0.5720,51.53,51.53,51.53,51.53,51.53,51.53,51.53,51.53
0.5760,73.79,73.79,73.79,73.79,73.79,73.79,73.79,73.79
0.5800,84.39,84.39,84.39,84.39,84.39,84.39,84.39,84.39
0.5840,81.68,81.68,81.68,81.68,81.68,81.68,81.68,81.68
0.5880,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07
0.5920,40.02,40.02,40.02,40.02,40.02,40.02,40.02,40.02
0.5960,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66
0.6000,12.31,12.31,12.31,12.31,12.31,12.31,12.31,12.31
0.6040,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47
0.6080,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66
0.6120,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89
0.6160,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14
0.6200,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50
0.6240,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56
0.6280,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73
0.6320,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
0.6360,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89
0.6400,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06
0.6440,-2.84,-2.84,-2.84,-2.84,-2.84,-2.84,-2.84,-2.84
0.6480,-6.34,-6.34,-6.34,-6.34,-6.34,-6.34,-6.34,-6.34
0.6520,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78
0.6560,-8.01,-8.01,-8.01,-8.01,-8.01,-8.01,-8.01,-8.01
0.6600,-8.65,-8.65,-8.65,-8.65,-8.65,-8.65,-8.65,-8.65
0.6640,-9.18,-9.18,-9.18,-9.18,-9.18,-9.18,-9.18,-9.18
0.6680,-9.49,-9.49,-9.49,-9.49,-9.49,-9.49,-9.49,-9.49
0.6720,-12.47,-12.47,-12.47,-12.47,-12.47,-12.47,-12.47,-12.47
0.6760,-12.14,-12.14,-12.14,-12.14,-12.14,-12.14,-12.14,-12.14
0.6800,-11.46,-11.46,-11.46,-11.46,-11.46,-11.46,-11.46,-11.46
